Date,Open,High,Low,Close,Adj Close,Volume
31/12/10,296.441925,297.276489,294.102142,295.065887,295.065887,3098500
3/1/11,296.312775,300.838348,296.312775,300.222351,300.222351,4761100
4/1/11,300.853241,301.131439,298.121002,299.114563,299.114563,3672700
5/1/11,298.096161,303.193024,298.086243,302.567078,302.567078,5097500
6/1/11,303.366882,307.216858,303.053925,304.767792,304.767792,4142300
7/1/11,305.964996,307.127441,303.093658,306.228271,306.228271,4229700
10/1/11,305.413574,305.706665,302.313751,305.120483,305.120483,3178800
11/1/11,306.859192,307.400665,305.264557,306.014679,306.014679,2897200
12/1/11,307.673889,307.673889,305.398682,306.441895,306.441895,3286500
13/1/11,306.491577,307.832855,305.095642,306.352478,306.352478,2685300
14/1/11,306.70517,310.117981,306.546204,310.073273,310.073273,4761900
18/1/11,311.007202,318.920715,310.614746,317.748352,317.748352,7280900
19/1/11,318.985321,319.402588,312.795563,313.833801,313.833801,6856500
20/1/11,314.062317,314.991272,309.631134,311.359894,311.359894,11042800
21/1/11,317.723511,318.791565,303.704681,303.938171,303.938171,17924600
24/1/11,301.82193,304.266052,298.672424,303.565613,303.565613,9258000
25/1/11,302.134918,308.339539,301.300323,307.952057,307.952057,7340900
26/1/11,308.160706,309.233734,305.652039,306.258087,306.258087,4102600
27/1/11,306.948608,307.847748,304.643585,306.402161,306.402161,4064500
28/1/11,307.53479,308.175629,297.942169,298.553192,298.553192,8517100
31/1/11,299.849762,300.281952,295.850769,298.240234,298.240234,5646300
1/2/11,300.291901,304.693268,299.606354,303.545715,303.545715,5526100
2/2/11,303.525848,305.185059,301.802063,304.022614,304.022614,3544200
3/2/11,302.770782,303.74939,301.106598,303.103607,303.103607,3009500
4/2/11,303.103607,303.744446,301.345032,303.51593,303.51593,3121700
7/2/11,303.108582,307.196991,302.636627,305.160217,305.160217,3622400
8/2/11,305.478149,307.812988,305.269501,307.192017,307.192017,3411700
9/2/11,306.441895,307.723541,304.191528,306.258087,306.258087,3708900
10/2/11,304.966492,306.754852,303.804047,306.228271,306.228271,4699100
11/2/11,304.911835,310.480621,304.519409,310.232239,310.232239,5213400
14/2/11,309.655975,312.785645,308.016663,312.045441,312.045441,4283500
15/2/11,311.633118,313.009186,309.536774,310.05838,310.05838,4211000
16/2/11,310.793579,311.225769,309.039978,310.09314,310.09314,3389800
17/2/11,308.617737,311.598358,308.135864,310.609772,310.609772,2976800
18/2/11,310.977386,313.550659,310.073273,313.004211,313.004211,6477500
22/2/11,308.011688,310.445862,301.921295,303.133423,303.133423,7327100
23/2/11,303.193024,305.363892,300.048462,303.684814,303.684814,5816600
24/2/11,303.719604,304.564117,298.732025,302.442902,302.442902,5458600
25/2/11,303.953064,305.37384,302.780701,303.04895,303.04895,3889900
28/2/11,303.029083,306.253113,302.040527,304.718109,304.718109,4592600
1/3/11,306.893951,307.609283,297.713654,298.438934,298.438934,6689500
2/3/11,297.962036,301.042023,295.671936,298.453857,298.453857,4079700
3/3/11,301.230774,303.769287,300.545258,302.810516,302.810516,3915700
4/3/11,302.199493,302.522369,298.160767,298.369385,298.369385,6061100
7/3/11,298.334625,299.89447,291.603394,293.918335,293.918335,6970400
8/3/11,294.549255,297.057922,293.193054,294.241241,294.241241,4599400
9/3/11,293.590485,295.334137,290.982452,293.972992,293.972992,4330000
10/3/11,290.82843,291.414642,287.852783,288.275055,288.275055,6296700
11/3/11,287.24176,288.126007,284.812561,286.491638,286.491638,6103300
14/3/11,284.549286,287.27655,282.174713,283.153351,283.153351,5668700
